identifier,identifier_pmid,title,creator,subject,rights,source,file_names_html,text_links_list
21,7,நாலாயிர திவ்ய பிரபந்தம் / திருக்குறுந்தாண்டகம்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
22,7,நாலாயிர திவ்ய பிரபந்தம் / திருநெடுந்தாண்டகம்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
23,7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /1,பொய்கையாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
24,7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /2,பூதத்தாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
25,7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /3,பேயாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
26,7,நாலாயிர திவ்ய பிரபந்தம் / திருவாசிரியம்,நம்மாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
27,7,நாலாயிர திவ்ய பிரபந்தம் / திருவிருத்தம்,நம்மாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
28,7,நாலாயிர திவ்ய பிரபந்தம் / திருவெழுகூற்றிருக்கை,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
29,7,நாலாயிர திவ்ய பிரபந்தம் / நான்முகன் திருவந்தாதி,திருமழிசை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
30,7,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமடல்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
31,7,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருவந்தாதி,நம்மாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
32,8,இராமானுஜ நூற்றந்தாதி,திருவரங்கத்து அமுதனார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0008_01.html | pmuni0008_02.html,pmuni0008_01.txt | pmuni0008_02.txt
33,8,நாலாயிர திவ்ய பிரபந்தம் / திருவாய்மொழி,நம்மாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0008_01.html | pmuni0008_02.html,pmuni0008_01.txt | pmuni0008_02.txt
34,8,நாலாயிர திவ்ய பிரபந்தம் /4,பல ஆசிரியர்கள்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0008_01.html | pmuni0008_02.html,pmuni0008_01.txt | pmuni0008_02.txt
